Kommune,Jahr,Name der Beteiligung,Ausschuss,Thema,Beschlussempfehlung,Begründung,Änderungen,Antragsteller W,Antragsteller M,Antragsteller D,im Ausschuss genehmigt,im Rat genehmigt,AGS,Einwohnerzahl,stärkste Fraktion,Schulform,Bundesland,Klassenstufe,urban/ländlich,Status in echt,Anmerkungen,Ansprechpartner
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Kleine Unternehmen fördern,"Die Bremische Bürgerschaft möge beschließen, dass Geld in Form eines Fördertopfes bereitgestellt wird zur Förderung von kleinen Unternehmen - besonders des Einzelhandels. Auf eine ein Jahr lange Förderung sollen sich Unternehmen, die weniger als 1 Mio. € Umsatz/Jahr machen, bewerben können.","Durch die Förderung von kleinen Unternehmen gibt es mehr Vielfalt von Angeboten auf dem Markt. Es wird die Monopolbildung verringert. Es belebt Innenstädte, da, wenn es mehr verschiedene Geschäfte gibt, die Verlockung größer ist, in die Innenstadt zu gehen.",,,,,nein,nein,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Straßenreinigung in Bremen,"Die Bremische Bürgerschaft möge beschließen, dass Straßen schneller gereinigt werden.","Dieses Thema ist wichtig, weil wir für die Infrastruktur saubere Straßen brauchen. Auch für die Hygiene ist es gut. Es sieht auch optisch gut.",Mehr Mülleimer; Schlaglöcher ausbessern,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Kontrolle bei tierischen Produkten,"Die Bremische Bürgerschaft möge beschließen, dass es mindestens zwei unabhängige und unangemeldete Kontrollen im Jahr an Produktionsstätten, an denen Tiere gehalten oder ""verarbeitet"" werden, gibt. Es soll ein Verbot von anonymen Tierverkäufen geben und Betriebe müssen öffentlich zugängliche Listen von ihren geschlachteten Tieren bereit stellen. Außerdem soll es eine Pflicht für einen Tierwohlindikator auf tierischen Produkten von unabhängigen Prüfer*innen geben. Hinzufügend werden Importkontrollen von Tieren, die nach Bremen importiert werden, eingeführt.","Tiere werden in Betrieben nicht geschützt. Sie werden ihrer Freiheit beraubt, gequält und getötet. Kühe werden zwangsgeschwängert, nur um ihnen ihre Kälber wegzunehmen. Wir haben Gesetze, die das allergröbste davon verhindern sollten, nur werden diese kaum eingehalten. Die Kontrollen werden teilweise von den Betrieben selbst durchgeführt und sie sind einfach zu schwach.",Ohne Importkontrollen,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Umwelt,Begrünte Gebäude,"Die Bremische Bürgerschaft möge beschließen, dass jedes neu bewilligte Gebäude (das mindestens 50qm Grundfläche aufweist) mindestens insgesamt 30% der Grundfläche an Grünfläche an der Fassade und/oder auf dem Dach trägt.","Da so ungenutzte Flächen nutzbar gemacht werden. Diese besondere Nutzbarkeit durch Grünflächen fördert die Artenvielfalt - außerdem absorbieren und reinigen begrünte Dächer/Fassaden Regenwasser. Zusätzlich betreiben die Pflanzen auf dem Gründach Photosynthese, wodurch sie Feinstaub filtern und CO2 in Sauerstoff umwadel. In Kombination mit Photovoltaik steigern Gründächer die Effizienz derselben. Zuletzt sorgen begrünte Dächer/Fassaden für gemäßigtere Temperaturen, die durch den Klimawandel stetig ansteigen und es sieht einfach nur gut aus.",,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Verkehr,Transportnavigation,"Die Bremische Bürgerschaft möge beschließen, dass in Bremen, vor allem der Innenstadt, mehr Weghinweise und Ortsausschilderungen aufgestellt werden. Bahn und andere ÖPNV-Fahrten sollen besser ausgeschildert werden, um besser über die Ankunft der Fortbewegungsmittel Bescheid zu wissen.",Weil man ansonsten oft die/den Bahn/Bus nicht rechtzeitig bekommt oder unvorbereitet auf die möglicherweise lange Wartezeit ist.,"Nicht in der Innenstadt, sondern den äußeren Stadtteilen",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Umwelt,Naturflächen,"Die Bremische Bürgerschaft möge beschließen, dass es die Ernennung eines mindestens zwei Kilometer großen Naturschutzgebietes gibt, in dem der Mensch sich nicht in die Bebauung, Anpflanzung, Abrodung, Bewirtung, Landwirtschaft und Begehung einmischt. Dieses Gebiet soll im Blockland sein.","Menschen mischen sich zu viel in die Natur ein, wir kennen nicht alle Zusammenhänge der Natur und zerstören sie.",Genauer Ort ist offen.,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Umwelt,Photovoltaik auf Dächern,"Die Bremische Bürgerschaft möge beschließen, dass jedes neu bewilligte Gebäude (das mindestens 100qm Wohnfläche/nutzbare Fläche aufweist) mindestens insgesamt 20% der Grundfläche an Fläche Photovoltaik an der Fassade und/oder auf dem Dach trägt.","Da so ungenutzte Flächen nutzbar gemacht werden - diese besondere Nutzbarkeit durch Photovoltaik birgt diese Vorteile: 1. es wird zusätzliche Energie erzeugt, die dringend benotigt wird. 2. Photovoltaik ist eine erneuerbare Energie, die ausgebaut werden muss.","Schräge Dächer, die gut für Photovoltaikanlagen genutzt werden können.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Weniger Baustellen gleichzeitig,"Die Bremische Bürgerschaft möge beschließen, dass im Land Bremen weniger Baustellen gleichzeitig betrieben werden.","Damit es mehr Platz für die Bürger gibt. Manchmal muss eine ganze Straße abgesperrt werden. Dann kann es sein, dass die Einwohner nicht mehr ihre Autos parken können. Machmal müssen auch Buslinien umgeleitet werden.","Mehr Transparenz bei Baustellen: wie lange dauern sie noch? Baustellen sollen erst fertiggestellt werden, bevor neue angefangen werden.",,,,ja,,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Denkmalschutz ausdifferenzieren,"Die Bremische Bürgerschaft möge beschließen, dass der Denkmalschutz, den ich durchaus als sinnvoll betrachte, besser ausdifferenziert wird. Das heißt, dass der Denkmalschutz sich nur auf konkrete Aspekte auswirkt, zum Beispiel die Fassade. Das bedeutet, dass das Interieur ohne einen Antrag verändert werden darf. Darunter fallen auch veraltete Technik und Heizungssysteme. Und dass insgesamt nicht-permanente Änderungen immer vorgenommen werden dürfen.","Meistens stehen ältere Gebäude unter Denkmalschutz. Diese sind durch ihre veralteten Heizungssysteme klimaschädlich. Doch wegen dem Aufwand, den der Denkmalschutz mit sich bringt (Anträge, Genehmigungen) wird dies selten verändert. Es ist auch so, dass das Wertvolle an den Gebäuden oft eher die Fassade ist und es deshalb dem Eigentümer zustehen sollte, zu entscheiden, ob er etwas an dem Interieur verändern will (solange dies nicht explizit unter Denkmalschutz steht). Auch Änderungen die nicht permanent sind, sollen möglich sein.",Heizungssysteme sollen ohne Antrag erneuert/renoviert werden dürfen - alles andere mit Antrag.,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Verkehr,Kostenloser ÖPNV,"Die Bremische Bürgerschaft möge beschließen, wenn Teile des ÖPNVs kostenlos sind, dass diese dann höher subventioniert werden.","Durch die Einsparung der Ticketinfrastruktur werden die Kosten minimiert. Dadurch, dass der ÖPNV kostenlos ist, gibt es mehr ÖPNV- Nutzende, das heißt, es gibt weniger Auto-Nutzende, was zu weniger Autoverkehr führt, wodurch weniger Treibhausgase ausgestoßen werden.","Die Bremische Bürgerschaft soll sich dafür einsetzen, dass es in ganz Deutschland eingeführt wird.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
